Date,High,Low,Close,SMA,WMA,MOM,K %,D %,EMA12,EMA26,MACD,RSI,W %R,CCI,AD
2000-01-03,7159.330078125,6720.8701171875,6750.759765625,,,,,,0.0,0.0,0.0,,,,0.0
2000-01-04,6755.35986328125,6510.4599609375,6586.9501953125,,,,,,1013.376953125,487.9222366898148,105.09094328703705,,,,0.018783583056693684
2000-01-05,6585.85009765625,6388.91015625,6502.06982421875,,,,,,1857.7912409855771,933.4146505808469,268.94807271057573,,,,-0.005585955029714901
2000-01-06,6539.31005859375,6402.6298828125,6474.919921875,,,,,,2568.1187303531806,1343.896522528562,460.0028997333843,,,,0.2724625876586608
2000-01-07,6791.52978515625,6470.14013671875,6780.9599609375,,,,,,3216.248150443076,1746.6419624107054,661.9235573931816,,,,0.9851277563559129
2000-01-10,6975.259765625,6785.47021484375,6925.52001953125,,,,,,3786.905361072026,2130.2625592344493,860.8674062820606,,,,1.0237645006676288
2000-01-11,6943.830078125,6821.259765625,6891.25,,,,,,4264.496843984022,2482.9282955874532,1045.0076347049624,,,,0.14938412263369238
2000-01-12,6913.5,6783.22021484375,6912.81005859375,,,,,,4671.929646231672,2811.0676854397716,1208.17849992235,,,,0.17078628102828572
2000-01-13,7106.4501953125,6898.68994140625,6955.97998046875,6753.468858506944,6820.744878472223,205.22021484375,73.60529084432952,,5023.322005345069,3118.0982258122885,1347.587555844436,69.48916983723427,-26.394709155670483,93.6683492861676,0.9320364847365291
2000-01-14,7207.4501953125,6960.2900390625,7173.22021484375,6800.408908420139,6904.695149739584,586.27001953125,95.81816663385769,,5354.075576037174,3418.477632407212,1465.1896334015414,79.36356668439115,-4.181833366142319,117.35791976200197,1.0174383228233213
2000-01-17,7297.0400390625,7112.97021484375,7258.89990234375,6875.069986979167,6996.393348524306,756.830078125,95.80014517299782,,5647.125472392032,3702.9533561062144,1560.9861299783965,81.95480974356605,-4.199854827002177,126.21324268614171,0.6726785595861795
2000-01-18,7306.47998046875,7053.85986328125,7072.1201171875,6938.408908420139,7035.803374565971,597.2001953125,74.0709367749185,,5866.355417745181,3952.5212643344576,1631.5557346648618,62.659051473816525,-25.929063225081507,85.30904501194492,0.18834635441834213
2000-01-19,7110.18994140625,6987.1201171875,7091.0400390625,7006.86669921875,7066.329600694445,310.080078125,74.24014376258155,,6054.768436409384,4185.004136536535,1679.1974477064591,63.63475070377036,-25.75985623741844,38.58735706708373,0.30933516367978986
